 , N/A , Image Name                     PID Session Name        Session#    Mem Usage
SearchApp.exe                 3656 Console                    1    146 , 880 K
RuntimeBroker.exe             3760 Console                    1     29 , 460 K
dllhost.exe                   3976 Console                    1     11 , 856 K
RuntimeBroker.exe             2896 Console                    1     14 , 900 K
SecurityHealthSystray.exe     3948 Console                    1      9 , 304 K
SecurityHealthService.exe     3852 Services                   0     15 , 040 K
metsvc.exe                    4108 Console                    1      4 , 040 K
svchost.exe                   4780 Services                   0     22 , 296 K
svchost.exe                   2932 Services                   0     15 , 576 K
SgrmBroker.exe                4988 Services                   0      7 , 348 K
svchost.exe                   5036 Services                   0     11 , 496 K
svchost.exe                   3372 Services                   0     10 , 956 K
svchost.exe                   4416 Services                   0      8 , 176 K
cmd.exe                       4324 Console                    1      4 , 908 K
conhost.exe                   3608 Console                    1     14 , 164 K
python.exe                    4556 Console                    1     69 , 520 K
TextInputHost.exe             1616 Console                    1     39 , 292 K
svchost.exe                   5172 Services                   0      8 , 016 K
WMIADAP.exe                   5360 Services                   0      8 , 544 K
WmiPrvSE.exe                  5396 Services                   0     14 , 280 K
ShellExperienceHost.exe       5608 Console                    1     47 , 264 K
RuntimeBroker.exe             5928 Console                    1     18 , 516 K
ONENOTEM.EXE                  2612 Console                    1        580 K
metsvc-server.exe             1588 Console                    1      8 , 540 K
conhost.exe                   2592 Console                    1     10 , 708 K
upfc.exe                      5588 Services                   0      6 , 980 K
svchost.exe                   5780 Services                   0     10 , 312 K
svchost.exe                   4220 Services                   0     10 , 320 K
sosal.exe                     1464 Console                    1     11 , 852 K
conhost.exe                   4672 Console                    1     18 , 156 K
WmiPrvSE.exe                  1188 Services                   0     11 , 088 K
tasklist.exe                  2124 Console                    1      9 , 064 K , Image Name                     PID Session Name        Session#    Mem Usage
========================= ======== ================ =========== ============
System Idle Process              0 Services                   0          8 K
System                           4 Services                   0        148 K
Registry                        72 Services                   0     20 , 560 K
smss.exe                       284 Services                   0      1 , 176 K
csrss.exe                      388 Services                   0      5 , 516 K
csrss.exe                      460 Console                    1      5 , 792 K
wininit.exe                    504 Services                   0      7 , 532 K
winlogon.exe                   520 Console                    1     12 , 220 K
services.exe                   588 Services                   0      9 , 544 K
lsass.exe                      600 Services                   0     15 , 984 K
svchost.exe                    700 Services                   0     23 , 672 K
fontdrvhost.exe                724 Services                   0      3 , 692 K
fontdrvhost.exe                732 Console                    1      5 , 948 K
svchost.exe                    808 Services                   0     14 , 360 K
svchost.exe                    864 Services                   0     10 , 640 K
dwm.exe                        924 Console                    1     70 , 828 K
svchost.exe                    988 Services                   0      8 , 080 K
svchost.exe                   1000 Services                   0     11 , 672 K
svchost.exe                   1008 Services                   0     13 , 056 K
svchost.exe                    408 Services                   0     10 , 056 K
svchost.exe                    384 Services                   0      5 , 848 K
svchost.exe                    464 Services                   0      8 , 336 K
svchost.exe                   1068 Services                   0     19 , 696 K
svchost.exe                   1116 Services                   0     12 , 112 K
svchost.exe                   1124 Services                   0      8 , 244 K
svchost.exe                   1136 Services                   0     15 , 716 K
svchost.exe                   1148 Services                   0      6 , 284 K
svchost.exe                   1176 Services                   0     13 , 888 K
svchost.exe                   1268 Services                   0      8 , 300 K
svchost.exe                   1304 Services                   0      7 , 636 K
svchost.exe                   1312 Services                   0      9 , 972 K
svchost.exe                   1320 Services                   0      7 , 308 K
svchost.exe                   1328 Services                   0      9 , 848 K
svchost.exe                   1356 Services                   0      6 , 500 K
svchost.exe                   1416 Services                   0      7 , 504 K
svchost.exe                   1548 Services                   0     11 , 336 K
svchost.exe                   1580 Services                   0      9 , 184 K
svchost.exe                   1644 Services                   0     10 , 100 K
svchost.exe                   1660 Services                   0      8 , 040 K
svchost.exe                   1668 Services                   0     10 , 880 K
svchost.exe                   1688 Services                   0      9 , 796 K
svchost.exe                   1732 Services                   0      7 , 928 K
svchost.exe                   1772 Services                   0     12 , 872 K
svchost.exe                   1912 Services                   0      7 , 332 K
spoolsv.exe                   1956 Services                   0     15 , 256 K
svchost.exe                   1976 Services                   0      7 , 628 K
svchost.exe                   2044 Services                   0      8 , 564 K
svchost.exe                   2056 Services                   0     17 , 064 K
svchost.exe                   2104 Services                   0      9 , 756 K
svchost.exe                   2128 Services                   0      7 , 476 K
svchost.exe                   2332 Services                   0      8 , 344 K
svchost.exe                   2340 Services                   0      7 , 628 K
svchost.exe                   2412 Services                   0     12 , 284 K
svchost.exe                   2420 Services                   0     20 , 356 K
svchost.exe                   2468 Services                   0      6 , 024 K
svchost.exe                   2484 Services                   0     12 , 616 K
svchost.exe                   2508 Services                   0      9 , 644 K
svchost.exe                   2568 Services                   0      5 , 920 K
svchost.exe                   2636 Services                   0     11 , 120 K
svchost.exe                   2888 Services                   0      8 , 792 K
svchost.exe                   3028 Services                   0     15 , 008 K
sihost.exe                     904 Console                    1     25 , 660 K
svchost.exe                    852 Console                    1     10 , 920 K
svchost.exe                   1144 Console                    1     32 , 432 K
svchost.exe                   2092 Services                   0      7 , 656 K
ctfmon.exe                    2648 Console                    1     15 , 756 K
explorer.exe                  3148 Console                    1    111 , 908 K
svchost.exe                   3284 Console                    1     18 , 376 K
StartMenuExperienceHost.e     3508 Console                    1     65 , 492 K
RuntimeBroker.exe             3576 Console                    1     21 , 464 K
SearchApp.exe                 3656 Console                    1    146 , 880 K
RuntimeBroker.exe             3760 Console                    1     29 , 456 K
dllhost.exe                   3976 Console                    1     11 , 856 K
RuntimeBroker.exe             2896 Console                    1     14 , 900 K
SecurityHealthSystray.exe     3948 Console                    1      9 , 304 K
SecurityHealthService.exe     3852 Services                   0     15 , 040 K
metsvc.exe                    4108 Console                    1      4 , 040 K
svchost.exe                   4780 Services                   0     22 , 292 K
svchost.exe                   2932 Services                   0     15 , 576 K
SgrmBroker.exe                4988 Services                   0      7 , 336 K
svchost.exe                   5036 Services                   0     11 , 496 K
svchost.exe                   3372 Services                   0     10 , 960 K
svchost.exe                   4416 Services                   0      8 , 176 K
cmd.exe                       4324 Console                    1      4 , 908 K
conhost.exe                   3608 Console                    1     14 , 164 K
python.exe                    4556 Console                    1     69 , 528 K
TextInputHost.exe             1616 Console                    1     39 , 952 K
svchost.exe                   5172 Services                   0      8 , 016 K
WMIADAP.exe                   5360 Services                   0      8 , 544 K
WmiPrvSE.exe                  5396 Services                   0     14 , 280 K
ShellExperienceHost.exe       5608 Console                    1     47 , 264 K
RuntimeBroker.exe             5928 Console                    1     18 , 516 K
sppsvc.exe                    3428 Services                   0     13 , 328 K
ONENOTEM.EXE                  2612 Console                    1        580 K
metsvc-server.exe             1588 Console                    1      8 , 540 K
conhost.exe                   2592 Console                    1     10 , 708 K
upfc.exe                      5588 Services                   0      6 , 976 K
svchost.exe                   5708 Services                   0     10 , 308 K
svchost.exe                   5028 Services                   0     10 , 324 K
sosal.exe                     4512 Console                    1      8 , 800 K
conhost.exe                   3792 Console                    1     18 , 164 K
WmiPrvSE.exe                  1108 Services                   0     11 , 240 K
tasklist.exe                  1740 Console                    1      9 , 040 K , Image Name                     PID Session Name        Session#    Mem Usage
========================= ======== ================ =========== ============
System Idle Process              0 Services                   0          8 K
System                           4 Services                   0        148 K
Registry                        72 Services                   0     20 , 560 K
smss.exe                       284 Services                   0      1 , 176 K
csrss.exe                      388 Services                   0      5 , 516 K
csrss.exe                      460 Console                    1      5 , 800 K
wininit.exe                    504 Services                   0      7 , 532 K
winlogon.exe                   520 Console                    1     12 , 220 K
services.exe                   588 Services                   0      9 , 552 K
lsass.exe                      600 Services                   0     15 , 996 K
svchost.exe                    700 Services                   0     23 , 680 K
fontdrvhost.exe                724 Services                   0      3 , 692 K
fontdrvhost.exe                732 Console                    1      5 , 948 K
svchost.exe                    808 Services                   0     14 , 372 K
svchost.exe                    864 Services                   0     10 , 652 K
dwm.exe                        924 Console                    1     70 , 828 K
svchost.exe                    988 Services                   0      8 , 080 K
svchost.exe                   1000 Services                   0     11 , 672 K
svchost.exe                   1008 Services                   0     13 , 084 K
svchost.exe                    408 Services                   0     10 , 056 K
svchost.exe                    384 Services                   0      5 , 848 K
svchost.exe                    464 Services                   0      8 , 336 K
svchost.exe                   1068 Services                   0     19 , 700 K
svchost.exe                   1116 Services                   0     12 , 112 K
svchost.exe                   1124 Services                   0      8 , 212 K
svchost.exe                   1136 Services                   0     16 , 464 K
svchost.exe                   1148 Services                   0      6 , 284 K
svchost.exe                   1176 Services                   0     13 , 932 K
svchost.exe                   1268 Services                   0      8 , 300 K
svchost.exe                   1304 Services                   0      7 , 636 K
svchost.exe                   1312 Services                   0      9 , 956 K
svchost.exe                   1320 Services                   0      7 , 308 K
svchost.exe                   1328 Services                   0      9 , 848 K
svchost.exe                   1356 Services                   0      6 , 500 K
svchost.exe                   1416 Services                   0      7 , 504 K
svchost.exe                   1548 Services                   0     11 , 336 K
svchost.exe                   1580 Services                   0      9 , 184 K
svchost.exe                   1644 Services                   0     10 , 100 K
svchost.exe                   1660 Services                   0      8 , 040 K
svchost.exe                   1668 Services                   0     10 , 880 K
svchost.exe                   1688 Services                   0      9 , 796 K
svchost.exe                   1732 Services                   0      7 , 928 K
svchost.exe                   1772 Services                   0     12 , 872 K
svchost.exe                   1912 Services                   0      7 , 332 K
spoolsv.exe                   1956 Services                   0     15 , 256 K
svchost.exe                   1976 Services                   0      7 , 628 K
svchost.exe                   2044 Services                   0      8 , 564 K
svchost.exe                   2056 Services                   0     17 , 064 K
svchost.exe                   2104 Services                   0      9 , 756 K
svchost.exe                   2128 Services                   0      7 , 472 K
svchost.exe                   2332 Services                   0      8 , 344 K
svchost.exe                   2340 Services                   0      7 , 628 K
svchost.exe                   2412 Services                   0     12 , 288 K
svchost.exe                   2420 Services                   0     20 , 348 K
svchost.exe                   2468 Services                   0      6 , 024 K
svchost.exe                   2484 Services                   0     12 , 616 K
svchost.exe                   2508 Services                   0      9 , 644 K
svchost.exe                   2568 Services                   0      5 , 920 K
svchost.exe                   2636 Services                   0     11 , 120 K
svchost.exe                   2888 Services                   0      8 , 792 K
svchost.exe                   3028 Services                   0     15 , 008 K
sihost.exe                     904 Console                    1     25 , 640 K
svchost.exe                    852 Console                    1     10 , 920 K
svchost.exe                   1144 Console                    1     32 , 432 K
svchost.exe                   2092 Services                   0      7 , 656 K
ctfmon.exe                    2648 Console                    1     15 , 756 K
explorer.exe                  3148 Console                    1    111 , 908 K
svchost.exe                   3284 Console                    1     18 , 380 K
StartMenuExperienceHost.e     3508 Console                    1     65 , 492 K
RuntimeBroker.exe             3576 Console                    1     21 , 464 K
SearchApp.exe                 3656 Console                    1    146 , 880 K
RuntimeBroker.exe             3760 Console                    1     29 , 460 K
dllhost.exe                   3976 Console                    1     11 , 856 K
RuntimeBroker.exe             2896 Console                    1     14 , 900 K
SecurityHealthSystray.exe     3948 Console                    1      9 , 304 K
SecurityHealthService.exe     3852 Services                   0     15 , 040 K
metsvc.exe                    4108 Console                    1      4 , 040 K
svchost.exe                   4780 Services                   0     22 , 300 K
svchost.exe                   2932 Services                   0     15 , 576 K
SgrmBroker.exe                4988 Services                   0      7 , 336 K
svchost.exe                   5036 Services                   0     11 , 496 K
svchost.exe                   3372 Services                   0     10 , 960 K
svchost.exe                   4416 Services                   0      8 , 176 K
cmd.exe                       4324 Console                    1      4 , 908 K
conhost.exe                   3608 Console                    1     14 , 160 K
python.exe                    4556 Console                    1     69 , 520 K
TextInputHost.exe             1616 Console                    1     39 , 292 K
svchost.exe                   5172 Services                   0      8 , 016 K
WMIADAP.exe                   5360 Services                   0      8 , 544 K
WmiPrvSE.exe                  5396 Services                   0     14 , 280 K
ShellExperienceHost.exe       5608 Console                    1     47 , 264 K
RuntimeBroker.exe             5928 Console                    1     18 , 516 K
ONENOTEM.EXE                  2612 Console                    1        580 K
metsvc-server.exe             1588 Console                    1      8 , 544 K
conhost.exe                   2592 Console                    1     10 , 708 K
upfc.exe                      5588 Services                   0      6 , 972 K
svchost.exe                   5760 Services                   0     10 , 300 K
svchost.exe                   1572 Services                   0     10 , 324 K
sosal.exe                     4512 Console                    1      8 , 792 K
conhost.exe                   3792 Console                    1     18 , 148 K
WmiPrvSE.exe                  4064 Services                   0     11 , 216 K
tasklist.exe                  3480 Console                    1      9 , 028 K , Image Name                     PID Session Name        Session#    Mem Usage
========================= ======== ================ =========== ============
System Idle Process              0 Services                   0          8 K
System                           4 Services                   0        148 K
Registry                        72 Services                   0     20 , 560 K
smss.exe                       284 Services                   0      1 , 176 K
